CodifiedMR,score,
10_FactoryItemMaterialTest_generalCase_AutoMR,1,
11_UtilTest_testUrlToJson_AutoMR,4,
12_AtomicIntArrayTest_testReset_AutoMR,3,
13_DefaultResponseFutureTest_testNormal_AutoMR,3,
14_ByteStringTest_testByteStringReturnCopy_AutoMR,3,
15_KeyStoreProviderTest_singleKeyPkcs1_AutoMR,3,
16_ShardedBigLongArrayTest_testSequentialReadWrites_AutoMR,3,
17_TextRendererTest_overflowWrapAnywhereItalicSimulationMaxWidth_AutoMR,2,
18_LogCode2DescriptionTest_alreadyInitialized_AutoMR,3,
19_AbstractITextConfigurationEventTest_getActiveProcessorTest_AutoMR,4,
1_ParameterMetricTest_testInitAndClearParameterMetric_AutoMR,1,
20_StateTest_changingValidTlsContextInMultiContextStateSucceeds_AutoMR,3,
21_TrailingSignatureAlgorithmTest_serializationEquality_AutoMR,3,
22_TzUrlDotOrgGeneratorTest_cache_AutoMR,4,
23_DummyArithmeticSIntTest_testToString_AutoMR,4,
24_ConnectionManagerTest_testGetOrCreateConnectionGroup_AutoMR,3,
25_JsonDeserializerTest_deserialize_baseNameSpecified_object_AutoMR,3,
26_DefaultConfigRegistryTest_testGetFactory_AutoMR,4,
27_KeyStoreProviderTest_singleKeyOaepSha256_AutoMR,3,
28_BCryptTest_testGensalt_AutoMR,2,
29_KeyStoreProviderTest_singleKeyOaepSha1_AutoMR,3,
2_HashidsTest_test_large_number_AutoMR,3,
30_NotificationTest_testSetSubscriptionsForEmailValidationForValidMails_AutoMR,3,
31_ClientHelloTest_testGetMessageLengthEqualsSerializedMessageLength_AutoMR,3,
32_SerializableListTest_hashCodeIsConsistentForUnchangedList_AutoMR,4,
33_PrefabValuesTest_giveRedCopyFromFallbackFactory_AutoMR,2,
34_SequentialProtocolProducerTest_testToString_AutoMR,3,
35_GridUnsafeDataInputOutputByteOrderSelfTest_testCharArray_AutoMR,2,
36_SecurityInfoSerDesTest_security_info_rpk_ser_des_then_equal_AutoMR,3,
37_JasperCustomValuesTest_shouldSetScriptletWithThreadSafeManager_AutoMR,3,
38_TestSerializers_testBitVectorSerializer_AutoMR,3,
39_JasperCustomValuesTest_shouldSetScriptletWithDefaultManager_AutoMR,3,
3_SecurityInfoSerDesTest_security_info_psk_ser_des_then_equal_AutoMR,4,
40_PDUByteBufferTest_initialLengthValidity_AutoMR,3,
41_ArrayBuilderTests_testEmptyWithType_AutoMR,2,
42_BucketRelatedTest_testReplicationRule_AutoMR,3,
43_HtmlElementTablesTest_testElementNames_AutoMR,3,
44_ByteArrayTest_test_AutoMR,2,
45_SvgDrawContextTest_addNamedObjectAndTryToAddDuplicate_AutoMR,3,
46_LUDecompositionTest_getL_AutoMR,2,
47_ObjectRelatedTest_testGetObjectRequest_AutoMR,1,
48_DefaultConfigManagerTest_testGetConfigFileMultipleTimesWithSameNamespace_AutoMR,3,
49_ByteBufferTest_testWriteAndRead_AutoMR,3,
4_Base64UtilsTest_testEncodeDecode_AutoMR,4,
50_TestForImg_testListImageStyleNegative_AutoMR,3,
51_JsonDeserializerTest_deserialize_temperature_resource_AutoMR,3,
52_ClusterMacTest_testSmallRecordWithOffsetClusterMac_AutoMR,2,
5_DefaultVirtualTerminalTest_testInput_AutoMR,3,
6_ClusterMacTest_testSmallRecordClusterMac_AutoMR,2,
7_NotificationTest_testSetSubject_AutoMR,3,
8_ClusterNodeTest_testGetOrCreateOriginNodeSingleThread_AutoMR,2,
9_DummyBooleanSBoolTest_testToString_AutoMR,3,
